[v · e · ?]Weaponed Fighters
Axe:,Morgan Scopper Gaban Chessmarimo Barrel Warashi Big Pan Dago Ottoland Kashii X Drake (Unknown status)? Sentomaru Lonz Curly Dadan Vander Decken IX Boo Acilia Hajrudin Meadows Mummy Charlotte Laurin Charlotte Noisette Charlotte Zuccotto Gerd Wetton (Non-Canon)≠ Blyue (Non-Canon)≠ Coe (Non-Canon)≠ Dice (Non-Canon)≠ One-Man (Non-Canon)≠ Tomac (Non-Canon)≠ Zenran (Non-Canon)≠ Kalik Meidara (Non-Canon)≠ Kyo (Unknown status)?
Claw:,Sham Buchi Kuro Marshall D. Teach Decalvan Brothers Gyro Meadows Jean Ango Carrot Charlotte Panna Eldoraggo (Non-Canon)≠ Zap (Non-Canon)≠ Needless (Non-Canon)≠ Morkin (Non-Canon)≠
Club:,Alvida Gin Mr. 9 Babe George Mach Oimo Scratchmen Apoo Minotaurus Minorhinoceros Minozebra Donquixote Mjosgard Fen Bock Diamante Hajrudin Kaidou (Unknown status)? Goldberg Queen Millet Pine Hatcha Yamato Willy (Non-Canon)≠ Boo Kong (Non-Canon)≠ Giant Nine (Non-Canon)≠ Hercules (Non-Canon)≠ Sekken De Tearai Jr. (Non-Canon)≠
Dial:,Gan Fall Satori Braham Divine Soldiers Gedatsu Kamakiri Wyper Ohm Shura Fuza Yama Hotori and Kotori Nami Usopp
Explosives:,Buggy Babe Absalom Indigo Heracles Vergo Senor Pink Pedro Babanuki Misutta (Non-Canon)≠
Flamethrower:,Kamakiri Damask Draw Wetton (Non-Canon)≠ Zau Ra Zau (Non-Canon)≠ Agray (Non-Canon)≠ Week (Non-Canon)≠ Gage (Non-Canon)≠
Chemicals:,Crocodile Wanze Duval Caesar Clown Yeti Cool Brothers Gladius Jack Vinsmoke Reiju
Shield:,Pearl Dorry Broggy Raki Wyper George Mach Speed Jiru Machvise Rebecca Hajrudin Acilia Gotti Charlotte Cracker Charlotte Chiboust Ganryu Goldberg Uta Blyue (Non-Canon)≠ Lacos (Non-Canon)≠ Craven (Non-Canon)≠
Whip:,Mohji Kalifa Sadi Catarina Devon Chappe Orlumbus Kujaku Kibagaeru (Non-Canon)≠ Peseta (Non-Canon)≠
Multiple Weapons:,"Usopp (Hammer, Dials and Explosives)* Krieg (Poison, Flail, Flamethrower and Explosives)* Mr. 9 (Club and Explosives)* Brogy (Axe and Shield)* Babe (Club and Explosives)* Wyper (Dials, Flamethrower and Shield)* George Mach (Club and Shield)* Franky (Flamethrower and Explosives)* Gladius (Poison and Explosives)* Baby 5 (Buki Buki no Mi)* Hajrudin (Axe, Club and Shield)* Acilia (Axe and Shield)* Uta (Spear and Shield)* Wetton (Non-Canon)≠ (Axe and Flamethrower)* Guard (Non-Canon)≠ (Explosives and Flamethrower)*"
Miscellanous Weapons:,Jango (Chakram)* Nefertari Vivi (Peacock Slashers)* Paulie (Ropes)* Urouge (Pillar)* Blamenco (Hammer)* Monet (Ice Picks)* Kurozumi Kanjuro (Paintbrush)* Raizo (Shuriken)* Charlotte Compo (Boomerang)* (Non-Canon)≠ Chome (Shuriken)* Swordsmen Polearm Wielders Snipers
