[v · e · ?]Officers
Canon
Straw Hat Grand Fleet:,Roronoa Zoro Nami Usopp Sanji Tony Tony Chopper Nico Robin Franky Brook Jinbe Cavendish Bartolomeo Sai Ideo Leo Hajrudin Orlumbus
Red Hair Pirates:,Benn Beckman Lucky Roux Yasopp Limejuice Bonk Punch Monster Building Snake Hongo Gab
Cross Guild:,Crocodile Dracule Mihawk
Buggy Pirates/Buggy's Delivery (Former)‡:,Alvida Galdino Mohji Cabaji Richie
Black Cat Pirates:,Sham Buchi
Krieg Pirates:,Gin Pearl Ideaman
Arlong Pirates (Former)‡:,Chew Kuroobi Hatchan (Former)‡ Nami (Former)‡
Baroque Works (Former)‡:,Mr. 1 Miss Doublefinger Mr. 2 Bon Kurei Mr. 3 Miss Goldenweek Mr. 4 Miss Merry Christmas Mr. 5 Miss Valentine Mr. 6 Miss Mother's Day Mr. 7 Miss Father's Day Mr. 8 (Undercover)* (Former)‡ Miss Monday Mr. 9 Miss Wednesday (Undercover)* (Former)‡ Mr. 10 Miss Tuesday Mr. 11 (Deceased)† Miss Thursday Mr. 12 Miss Saturday Previous Mr. 7 (Deceased: Deceased and Replaced)†
Bliking Pirates:,Chess Kuromarimo
Whitebeard Pirates (Former: Disbanded)‡:,Marco Kouzuki Oden (Former)‡ (Deceased)† Portgas D. Ace (Deceased)† Jozu Thatch (Deceased)† Vista Blamenco Rakuyo Namur Blenheim Curiel Kingdew Haruta Atmos Speed Jiru Fossa Izou (Deceased)†
God's Army:,Ohm Satori Shura Gedatsu
Thriller Bark Pirates:,Hogback Absalom (Deceased)† Perona (Former: Defected)‡
Kuja Pirates:,Boa Sandersonia Boa Marigold
Golden Lion Pirates:,Indigo Scarlet (Non-Canon)≠
Spade Pirates (Former: Disbanded)‡:,Masked Deuce Skull Mihar
Revolutionary Army:,Sabo Emporio Ivankov Karasu Belo Betty Morley Lindbergh Inazuma Jiron Ahiru Ushiano Gambo Koala Bartholomew Kuma (Former)‡ Terry Gilteo
New Fish-Man Pirates:,Dosun Zeo Daruma Ikaros Much Hyouzou
Donquixote Pirates (Former: Arrested)‡:,Trebol Diamante Pica Vergo (Deceased)† Donquixote Rosinante (Former: Undercover)‡ (Deceased)† Sugar Giolla Violet (Former: Defected)‡ Lao G Senor Pink Machvise Dellinger Gladius Buffalo Baby 5 (Former: Defected)‡ Monet (Deceased)†
Blackbeard Pirates:,Jesus Burgess Shiryu Van Augur Avalo Pizarro Laffitte Catarina Devon Sanjuan Wolf Vasco Shot Doc Q Kuzan
Big Mom Pirates:,Charlotte Katakuri Charlotte Smoothie Charlotte Cracker Charlotte Perospero Charlotte Compote Charlotte Daifuku Charlotte Oven Charlotte Mondée Charlotte Amande Charlotte Hachée Charlotte Effilée Charlotte Opera (Unknown status)? Charlotte Counter Charlotte Cadenza Charlotte Cabaletta Charlotte Custard Charlotte Angel Charlotte Zuccotto Charlotte Brûlée Charlotte Broyé Charlotte Nusstorte Charlotte Basskarte Charlotte Dosmarche Charlotte Noisette Charlotte Moscato Charlotte Mash Charlotte Cornstarch Charlotte Compo Charlotte Laurin Charlotte Mont-d'Or Charlotte Mozart Charlotte Marnier Charlotte High-Fat Charlotte Tablet Charlotte Citron Charlotte Cinnamon Charlotte Saint-Marc Charlotte Basans Charlotte Melise Charlotte Dacquoise Charlotte Galette Charlotte Poire Charlotte Snack Charlotte Bavarois Charlotte Prim Charlotte Kanten Charlotte Kato Charlotte Montb Charlotte Chiboust Charlotte Mobile Charlotte Marble Charlotte Myukuru Charlotte Maple Charlotte Brownie Charlotte Joconde Charlotte Raisin Charlotte Panna Charlotte Mascarpone Charlotte Joscarpone Charlotte Yuen Charlotte Decuplets (Charlotte Newshi Charlotte Nutmeg Charlotte Akimeg Charlotte Allmeg Charlotte Harumeg Charlotte Fuyumeg) Charlotte Nougat Charlotte Pudding Charlotte Flampe
Beasts Pirates:,King Queen Jack X Drake (Former)‡ (Unknown status)? Page One Ulti Who's-Who Black Maria Sasaki Sheepshead (Unknown status)? Ginrummy (Unknown status)? Basil Hawkins (Unknown status)? Holed'em Speed (Former: Tamed by Tama)‡ Dobon Daifugo (Former: Tamed by Tama)‡ Babanuki (Former: Tamed by Tama)‡ Solitaire Bao Huang Usunoro Nokokuwa Police (Former: Tamed by Tama)‡ Doubt Brothers Briscola (Former: Tamed by Tama)‡ Bisley (Former: Tamed by Tama)‡ Fourtricks Hamlet (Former: Tamed by Tama)‡ Mizerka (Former: Tamed by Tama)‡ Poker (Former: Tamed by Tama)‡
